ticker,company,share_type,weight_percent,start_date,end_date,start_price,end_price,absolute_change,return_percent
RDOR3,REDE D OR,ON      NM,1.561,2022-08-18,2026-08-18,30.635746002197266,32.880001068115234,2.2442550659179688,7.325609324992466
TOTS3,TOTVS,ON      NM,0.706,2022-08-18,2026-08-18,29.14238739013672,31.25,2.1076126098632812,7.232120627758198
MOTV3,MOTIVA SA,ON      NM,0.595,2022-08-18,2026-08-18,12.85782241821289,13.699999809265137,0.8421773910522461,6.549922402562625
COGN3,COGNA ON,ON      NM,0.176,2022-08-18,2026-08-18,2.1931936740875244,2.0799999237060547,-0.11319375038146973,-5.161137920414793
SLCE3,SLC AGRICOLA,ON      NM,0.131,2022-08-18,2026-08-18,14.625612258911133,13.789999961853027,-0.8356122970581055,-5.713349173119109
VIVA3,VIVARA S.A.,ON      NM,0.11,2022-08-18,2026-08-18,22.670820236206055,20.670000076293945,-2.0008201599121094,-8.825530523667302
SUZB3,SUZANO S.A.,ON      NM,1.075,2022-08-18,2026-08-18,45.26216506958008,41.22999954223633,-4.03216552734375,-8.908468079565424
AURE3,AUREN,ON      NM,0.139,2022-08-18,2026-08-18,11.2009859085083,10.079999923706055,-1.120985984802246,-10.007922462885544
RADL3,RAIADROGASIL,ON      NM,0.98,2022-08-18,2026-08-18,20.598249435424805,17.100000381469727,-3.498249053955078,-16.983234740029896
USIM5,USIMINAS,PNA     N1,0.142,2022-08-18,2026-08-18,8.47340202331543,6.28000020980835,-2.19340181350708,-25.885728158202703
RAIL3,RUMO S.A.,ON      NM,0.719,2022-08-18,2026-08-18,18.844860076904297,13.260000228881836,-5.584859848022461,-29.63598469413472
YDUQ3,YDUQS PART,ON      NM,0.082,2022-08-18,2026-08-18,11.172113418579102,7.320000171661377,-3.8521132469177246,-34.479718407724924
RECV3,PETRORECSA,ON  EJ  NM,0.124,2022-08-18,2026-08-18,16.152372360229492,10.15999984741211,-5.992372512817383,-37.099024088695806
RENT3,LOCALIZA,ON      NM,1.414,2022-08-18,2026-08-18,54.71611022949219,32.61000061035156,-22.106109619140625,-40.40146407780528
HYPE3,HYPERA,ON      NM,0.291,2022-08-18,2026-08-18,34.85698318481445,20.6299991607666,-14.226984024047852,-40.81530506703712
BRAV3,BRAVA,ON  ATZ NM,0.279,2022-08-18,2026-08-18,33.9747314453125,18.68000030517578,-15.294731140136719,-45.01796037668735
LREN3,LOJAS RENNER,ON      NM,0.468,2022-08-18,2026-08-18,20.8088321685791,10.6899995803833,-10.1188325881958,-48.62758518219501
MRVE3,MRV,ON      NM,0.079,2022-08-18,2026-08-18,10.40614128112793,4.769999980926514,-5.636141300201416,-54.16168345151
ASAI3,ASSAI,ON      NM,0.471,2022-08-18,2026-08-18,17.45659637451172,7.900000095367432,-9.556596279144287,-54.74490028937039
CSNA3,SID NACIONAL,ON,0.144,2022-08-18,2026-08-18,11.073602676391602,4.579999923706055,-6.493602752685547,-58.64038057397166
BEEF3,MINERVA,ON      NM,0.066,2022-08-18,2026-08-18,13.295175552368164,3.3299999237060547,-9.96517562866211,-74.95332114578277
AZZA3,AZZAS 2154,ON      NM,0.071,2022-08-18,2026-08-18,75.9636001586914,15.380000114440918,-60.58360004425049,-79.7534607597436
NATU3,NATURA,ON      NM,0.278,2025-06-26,2026-08-18,36.86000061035156,7.460000038146973,-29.40000057220459,-79.76125904878052
VAMO3,VAMOS,ON      NM,0.054,2022-08-18,2026-08-18,13.639862060546875,2.740000009536743,-10.899862051010132,-79.91182024148061
CSAN3,COSAN,ON      NM,0.312,2022-08-18,2026-08-18,19.984498977661133,3.1500000953674316,-16.8344988822937,-84.23778299927093
BRKM5,BRASKEM,PNA     N1,0.06,2022-08-18,2026-08-18,34.31999969482422,5.099999904632568,-29.21999979019165,-85.1398602855999
MGLU3,MAGAZ LUIZA,ON      NM,0.068,2022-08-18,2026-08-18,34.52556610107422,4.260000228881836,-30.265565872192383,-87.66131678649205
HAPV3,HAPVIDA,ON      NM,0.077,2022-08-18,2026-08-18,119.0999984741211,6.78000020980835,-112.31999826431274,-94.30730453679934
